Title,URL,Genre,Plays,Plays for sorting,Publish Date
Aquarium Land,https://www.youtube.com/playables/UgkxwgDLkWx1arqo3OTf3msG3XHtU9JTIf1k,Simulation,11 million plays,11000000,11 Nov 2025
Merge Miners,https://www.youtube.com/playables/UgkxagGtOacDB1SvVDTH2J5vhkFjASrAJtBw,Brain and puzzle,11 million plays,11000000,22 Oct 2025
Tanghulu Master,https://www.youtube.com/playables/Ugkxl2j8-Jg4qpiTSjc_lm2An_tihNDfTXz4,Simulation,11 million plays,11000000,23 Jul 2025
Ludo King™,https://www.youtube.com/playables/Ugkx84ScJtr7WrAOYsMqNjKBH2xW8hqtE82g,Simulation,11 million plays,11000000,21 May 2024
Angry Birds Showdown,https://www.youtube.com/playables/Ugkxb2gxwOZu9QDqSZymy8YWhn_NJbg2BQXH,Brain and puzzle,11 million plays,11000000,27 Apr 2024
Find Out,https://www.youtube.com/playables/UgkxuDSpS3gp4pwkMxIxjbrQRs5gw9ZQE7ma,Brain and puzzle,11 million plays,11000000,9 Jan 2024
Draw The Line,https://www.youtube.com/playables/UgkxnstpF8MxByAqBl2sHWRVx0DkueiGebIL,Arcade,10 million plays,10000000,10 Sept 2024
Smash Speed!,https://www.youtube.com/playables/Ugkx6x9Uq55TTNP7QKEveEMr7CCylGhb7kvA,Racing,10 million plays,10000000,5 Jun 2026
MR RACER  Stunt Mania,https://www.youtube.com/playables/UgkxgFE88v_ffhjK02iL6iCPePw6NRONmFZi,Racing,10 million plays,10000000,28 May 2026
Army Run 3D,https://www.youtube.com/playables/Ugkx5GZh3aXLL-TIICvyVzYexTon8h1UgmyU,Action,10 million plays,10000000,24 Mar 2026
Hypermarket 3D: Store Cashier,https://www.youtube.com/playables/UgkxVgEHfvx6fSAZEgDocc8NiJ8Ju_RdqQ6C,Simulation,10 million plays,10000000,27 Jan 2026
Crazy Kick!,https://www.youtube.com/playables/Ugkx7aOajUFDW9YQkfKTR9aBgGrQNlITrwCY,Sport,10 million plays,10000000,15 Oct 2025
Bubble Shooter,https://www.youtube.com/playables/Ugkx0KxW3hcMo5oN54VXTwcXrH8-ie8mXEVQ,Arcade,10 million plays,10000000,1 Oct 2024
Flappy Dunk,https://www.youtube.com/playables/UgkxXpLALBdUxSC7jCKF4z9yedUBoGOiP--m,Arcade,10 million plays,10000000,1 Oct 2024
Alien Shooter,https://www.youtube.com/playables/Ugkxoat5BdVauZ_vZ9LDhLOIdTDGNsP9XfOM,Action,10 million plays,10000000,5 Dec 2023
Rainy Boba Cafe,https://www.youtube.com/playables/UgkxARjhkMHAuyc5hdElO22cec1cTa4Cnkda,Simulation,10 million plays,10000000,24 Oct 2023
Element Blocks,https://www.youtube.com/playables/UgkxWwmO5vYaH02IwIlnLC1VDU6R09_v7yLX,Brain and puzzle,10 million plays,10000000,15 Aug 2023
FreeCell Solitaire,https://www.youtube.com/playables/Ugkxbnpb-Zfu90iTv-d_1rZA5kUiiZwUz5U3,Board and card,10 million plays,10000000,2 Aug 2023
Adorable Home,https://www.youtube.com/playables/UgkxhZg1OZV8DMXOTTuELyU_T-7tipA8gfIU,Simulation,9.9 million plays,9900000,4 Jun 2024
